hidden_size,learning_rate,num_layers,test_accuracy,epoch_losses,epoch_accuracies,epoch_precisions
256,0.0001,2,80.43478260869566,"[1.6033196846644084, 1.5839183926582336, 1.564266284306844, 1.544922451178233, 1.5161399046579997, 1.4661462505658467, 1.392695387204488, 1.3043226202329, 1.105988472700119, 0.9240824480851492, 0.7949521243572235, 0.6873873621225357, 0.6194157550732294, 0.53885218501091, 0.4902604917685191, 0.5673770556847254, 0.6421543508768082, 0.7223560313383738, 0.5843010346094767, 0.5103409588336945]","[27.624309392265193, 32.04419889502763, 41.988950276243095, 48.61878453038674, 51.93370165745856, 52.48618784530387, 55.80110497237569, 57.4585635359116, 58.011049723756905, 61.32596685082873, 66.29834254143647, 71.2707182320442, 75.13812154696133, 84.5303867403315, 85.0828729281768, 81.76795580110497, 79.00552486187846, 75.13812154696133, 77.90055248618785, 85.0828729281768]","[0.29374337221633084, 0.3919437340153453, 0.42498998196754156, 0.4011857707509881, 0.4142292490118577, 0.41658703615225356, 0.41304347826086957, 0.406911928651059, 0.43219461697722567, 0.6091357155430382, 0.6847826086956522, 0.7968227424749164, 0.813664596273292, 0.8181159420289855, 0.8463830855135204, 0.8293807641633728, 0.555672268907563, 0.7514665286404416, 0.794874207917686, 0.834211682037769]"
256,0.0001,3,78.26086956521739,"[1.6025143663088481, 1.593333860238393, 1.586008071899414, 1.5707158247629802, 1.5562399625778198, 1.5140256881713867, 1.4290093183517456, 1.2666462461153667, 1.1099345485369365, 0.935277650753657, 0.8728378117084503, 0.850599855184555, 0.7191314796606699, 0.64286536971728, 0.6278636455535889, 0.5657450159390768, 0.5007620006799698, 0.4497203081846237, 0.43335355321566266, 0.38511359691619873]","[21.54696132596685, 32.59668508287293, 35.91160220994475, 38.67403314917127, 41.988950276243095, 44.19889502762431, 48.61878453038674, 55.248618784530386, 57.4585635359116, 61.32596685082873, 63.53591160220994, 66.29834254143647, 71.8232044198895, 75.69060773480663, 73.48066298342542, 82.32044198895028, 82.87292817679558, 84.5303867403315, 85.0828729281768, 85.6353591160221]","[0.3119312436804853, 0.31548250265111344, 0.26172768878718533, 0.24161490683229814, 0.22047799629596967, 0.43094629156010233, 0.4451086956521739, 0.4131231087752827, 0.4574351479722324, 0.4405425492382014, 0.5901562205910033, 0.5873745819397993, 0.5883773799374822, 0.6615612648221344, 0.8206521739130435, 0.7925999121651295, 0.7751765143069491, 0.7925999121651295, 0.8227657004830917, 0.7789855072463768]"
512,0.01,2,41.30434782608695,"[2.218869129816691, 1.6113775769869487, 1.628188669681549, 1.620340645313263, 1.6304463545481365, 1.611043651898702, 1.599606196085612, 1.578268587589264, 1.5795259475708008, 1.5508538285891216, 1.4872132142384846, 1.4276429017384846, 1.3803871273994446, 1.3877671559651692, 1.383644958337148, 1.3347462018330891, 1.3515438437461853, 1.2994173765182495, 1.360366423924764, 1.3044617374738057]","[21.54696132596685, 22.099447513812155, 25.414364640883978, 17.679558011049725, 25.414364640883978, 18.784530386740332, 19.88950276243094, 27.07182320441989, 28.7292817679558, 32.59668508287293, 41.988950276243095, 37.01657458563536, 42.5414364640884, 40.331491712707184, 38.12154696132597, 42.5414364640884, 43.646408839779006, 38.67403314917127, 43.0939226519337, 43.0939226519337]","[0.057183364839319475, 0.06805293005671077, 0.057183364839319475, 0.06805293005671077, 0.057183364839319475, 0.04725897920604915, 0.06805293005671077, 0.06805293005671077, 0.04725897920604915, 0.23299888517279824, 0.2530657748049052, 0.3138918345705196, 0.32502651113467657, 0.3319623971797885, 0.244824016563147, 0.244824016563147, 0.3272946859903382, 0.4172266139657444, 0.24007561436672967, 0.2599574338704774]"
512,0.01,3,26.08695652173913,"[2.2565969427426658, 1.674103061358134, 1.5935526092847188, 1.6094616254170735, 1.6012374758720398, 1.5924111406008403, 1.5933182835578918, 1.5919012029965718, 1.5888160268465679, 1.6000336209932964, 1.5937551061312358, 1.5945235689481099, 1.599311073621114, 1.5907009641329448, 1.5978672901789348, 1.5934126377105713, 1.597498635450999, 1.6010618408521016, 1.6049041946729024, 1.5977034171422322]","[24.30939226519337, 18.23204419889503, 25.414364640883978, 25.414364640883978, 17.12707182320442, 20.994475138121548, 25.414364640883978, 25.414364640883978, 23.204419889502763, 25.414364640883978, 25.414364640883978, 25.414364640883978, 25.414364640883978, 19.337016574585636, 22.65193370165746, 22.099447513812155, 19.337016574585636, 22.65193370165746, 23.204419889502763, 20.994475138121548]","[0.023156899810964086, 0.04725897920604915, 0.06805293005671077, 0.06805293005671077, 0.057183364839319475, 0.06805293005671077, 0.06805293005671077, 0.06805293005671077, 0.06805293005671077, 0.06805293005671077, 0.06805293005671077, 0.06805293005671077, 0.06805293005671077, 0.057183364839319475, 0.06805293005671077, 0.057183364839319475, 0.06805293005671077, 0.29305477131564084, 0.057183364839319475, 0.06805293005671077]"
512,0.001,2,82.6086956521739,"[1.5742620627085369, 1.2755833466847737, 1.0457767844200134, 0.7785476942857107, 0.6984889854987463, 0.5608714719613394, 0.5460129628578821, 0.7380346407492956, 0.636046975851059, 0.6497530390818914, 0.505883976817131, 0.48308561245600384, 0.5168101961414019, 0.37882918616135913, 0.36600323021411896, 0.3153458784023921, 0.29021215935548145, 0.22140619034568468, 0.30619852741559345, 0.26584215958913165]","[25.414364640883978, 46.408839779005525, 61.87845303867403, 67.95580110497238, 74.03314917127072, 80.66298342541437, 79.55801104972376, 73.48066298342542, 77.34806629834254, 76.79558011049724, 83.42541436464089, 83.97790055248619, 82.32044198895028, 86.74033149171271, 84.5303867403315, 88.95027624309392, 88.39779005524862, 88.95027624309392, 88.39779005524862, 91.71270718232044]","[0.285236502627807, 0.6054706163401816, 0.5428701733049559, 0.6972399581095234, 0.7803312629399585, 0.6624607276781189, 0.7356670929241262, 0.8043478260869565, 0.741243961352657, 0.7732521102086318, 0.8434782608695651, 0.7783816425120773, 0.8297101449275361, 0.8237812911725955, 0.8271739130434782, 0.8361024844720497, 0.8706521739130434, 0.8636991028295375, 0.8536231884057971, 0.8250836120401338]"
512,0.001,3,58.69565217391305,"[1.5773576498031616, 1.1734491288661957, 1.079563746849696, 1.0212115248044331, 0.8577097753683726, 0.8279751439889272, 0.6592522660891215, 0.568650409579277, 0.5424487690130869, 0.5506285230318705, 0.5592736651500066, 0.535226451853911, 0.48641566932201385, 0.4258489857117335, 0.529576146354278, 0.5402509421110153, 0.565656249721845, 0.4118903229633967, 0.3708968808253606, 1.343829760948817]","[30.939226519337016, 53.591160220994475, 56.9060773480663, 59.11602209944751, 67.40331491712708, 67.95580110497238, 79.55801104972376, 80.11049723756906, 82.87292817679558, 81.76795580110497, 80.11049723756906, 82.32044198895028, 81.76795580110497, 83.42541436464089, 84.5303867403315, 79.55801104972376, 78.45303867403315, 87.29281767955801, 87.84530386740332, 68.50828729281768]","[0.4913419913419913, 0.45681256361785666, 0.49145962732919257, 0.572557876905703, 0.6648393194706994, 0.7619400527009222, 0.7972408026755852, 0.8016304347826086, 0.7446488294314382, 0.8822463768115942, 0.7479296066252588, 0.8293807641633728, 0.8722826086956522, 0.8706521739130434, 0.7511293054771315, 0.773913043478261, 0.811013563730955, 0.8332357859531774, 0.7913647342995169, 0.5843366778149387]"
512,0.0001,2,76.08695652173913,"[1.5981759826342266, 1.5677048961321514, 1.5313063462575276, 1.4799224336942036, 1.380920648574829, 1.1926499803860982, 0.9638074338436127, 0.8237856229146322, 0.6861517330010732, 0.6383802990118662, 0.6366915802160898, 0.5172955791155497, 0.4983285268147786, 0.4832857350508372, 0.4104660749435425, 0.33390528460343677, 0.3322359398007393, 0.47636423508326214, 0.436221727480491, 0.2996977816025416]","[33.149171270718234, 41.43646408839779, 51.38121546961326, 52.48618784530387, 53.03867403314917, 54.14364640883978, 60.22099447513812, 71.2707182320442, 72.92817679558011, 76.79558011049724, 76.24309392265194, 81.76795580110497, 82.87292817679558, 85.0828729281768, 85.0828729281768, 90.05524861878453, 90.05524861878453, 82.32044198895028, 83.42541436464089, 88.95027624309392]","[0.22379658385093168, 0.4115481941568898, 0.4092975793743058, 0.40943966519414093, 0.4247364953886693, 0.3784937888198758, 0.5116459627329192, 0.6338721664808622, 0.6070234113712375, 0.7638187899057465, 0.7696488294314381, 0.8260869565217391, 0.7486860965121834, 0.8473429951690821, 0.8473429951690821, 0.81465744400527, 0.8079355427181514, 0.8656126482213438, 0.857985613420396, 0.7789855072463768]"
512,0.0001,3,78.26086956521739,"[1.60800439119339, 1.592965265115102, 1.565146525700887, 1.5264706412951152, 1.4146075050036113, 1.2021862268447876, 0.968876709540685, 0.9153372943401337, 0.8117100497086843, 0.6805567741394043, 0.7714132865269979, 0.6684229969978333, 0.652239054441452, 0.5004742443561554, 0.583360622326533, 0.4557580202817917, 0.4070316304763158, 0.3302508518099785, 0.3019060517350833, 0.3804069596032302]","[22.099447513812155, 39.226519337016576, 55.80110497237569, 44.19889502762431, 43.646408839779006, 53.591160220994475, 58.011049723756905, 58.011049723756905, 64.08839779005525, 77.90055248618785, 77.90055248618785, 74.58563535911603, 78.45303867403315, 81.21546961325967, 80.66298342541437, 84.5303867403315, 86.74033149171271, 89.50276243093923, 90.05524861878453, 88.95027624309392]","[0.26071030418856506, 0.32220026350461134, 0.40341367777649634, 0.2577639751552795, 0.397809364548495, 0.40670289855072467, 0.5544295521412227, 0.7606107660455487, 0.6085284280936455, 0.7335322534811025, 0.6923342358124966, 0.8321256038647343, 0.8119522989088207, 0.794035674470457, 0.7839878720313503, 0.7860593512767425, 0.8274672187715666, 0.856159420289855, 0.8297101449275361, 0.8398550724637681]"
128,0.01,1,71.73913043478261,"[1.510055919488271, 1.2387349406878154, 1.027952512105306, 0.9345151980717977, 0.7560487786928812, 0.7105648070573807, 0.5390638311704, 0.5068175395329794, 0.4430025468269984, 0.7556339353322983, 0.8193981945514679, 0.6597946981588999, 0.5192198952039083, 0.461880882581075, 0.6036122788985571, 0.4979356676340103, 0.4018445387482643, 0.5015176932017008, 0.4553717051943143, 0.5833640595277151]","[32.04419889502763, 50.27624309392265, 61.32596685082873, 67.40331491712708, 71.2707182320442, 71.8232044198895, 83.42541436464089, 82.87292817679558, 86.1878453038674, 75.69060773480663, 65.74585635359117, 77.90055248618785, 82.87292817679558, 83.42541436464089, 80.66298342541437, 83.42541436464089, 88.95027624309392, 81.21546961325967, 84.5303867403315, 79.00552486187846]","[0.2782608695652174, 0.6559696342305038, 0.7422360248447204, 0.6827809871288132, 0.6471571906354515, 0.7782608695652173, 0.7587792642140468, 0.8195652173913044, 0.7939082656473961, 0.628922495274102, 0.6502329192546583, 0.8086956521739131, 0.7986111111111112, 0.8040547616634572, 0.7472826086956522, 0.7739966555183946, 0.8354700854700855, 0.7372859025032937, 0.8510540184453228, 0.7107919254658386]"
128,0.001,1,84.78260869565217,"[1.5512147148450215, 1.3448417782783508, 1.0355949600537617, 0.7990684707959493, 0.5706986337900162, 0.631706232825915, 0.9461630483468374, 0.7309182534615198, 0.7148743768533071, 0.7148180802663168, 0.5978883653879166, 0.6145247370004654, 0.919946958621343, 0.9364204406738281, 0.6113101343313853, 0.6748457650343577, 0.540700688958168, 0.47468337913354236, 0.38336384296417236, 0.3185603767633438]","[35.35911602209945, 58.56353591160221, 67.40331491712708, 74.03314917127072, 82.32044198895028, 80.66298342541437, 67.95580110497238, 71.8232044198895, 71.8232044198895, 80.11049723756906, 78.45303867403315, 80.11049723756906, 58.011049723756905, 67.40331491712708, 80.66298342541437, 77.34806629834254, 82.32044198895028, 87.29281767955801, 88.39779005524862, 91.16022099447514]","[0.3285135916714864, 0.6340579710144928, 0.6621376811594203, 0.7889665286404417, 0.810658423701902, 0.7687134725178203, 0.8150636802810716, 0.5942028985507246, 0.658695652173913, 0.8293783511174816, 0.7887351778656126, 0.8152173913043478, 0.40546772068511194, 0.7774327122153208, 0.7532279314888011, 0.7536231884057972, 0.8333850931677019, 0.8434782608695651, 0.8597826086956522, 0.8647342995169083]"
